Explanation Position Goal Role Notation isPartial isEmphasized hasMany Coder
UN006	21	Implementation	Idea	Diagram False	False	False A
UN006	21	Implementation	Idea	Pseudocode False	False	False A
UN006	21	Implementation	Performance	Table False	False	True A
UN006	23	Implementation	Analogy	Code False	False	False A
UN006	24	Implementation	Definition List False	False	False A
UN006	24	Implementation	Definition Code False	False	False A
UN006	25	Algorithm	Example	Diagram False	False	False A
UN006	25	Algorithm	Example	Sequence False	False	False A
UN006	26	Implementation	Definition English True	False	False A
UN006	26	Implementation	Definition List True	False	False A
UN006	27	Implementation	Definition List True	False	False A
UN006	27	Implementation	Definition List True	False	False A
UN006	28	Implementation	Performance	List False	False	True A
UN006	29	Algorithm	Analogy	English False	False	True A
UN006	29	Algorithm	Analogy	Diagram False	False	True A
UN006	29	Algorithm	Analogy	List False	False	True A
UN006	30	Algorithm	Application List False	False	True A
UN006	32	Algorithm	Application	English False	False	False A
UN006	32	Algorithm	Application	Diagram False	False	False A
UN006	32	Algorithm	Application	Table False	False	False A
UN006	35	Algorithm	Constraint	English False	False	False A
UN006	35	Algorithm	Constraint	Diagram False	False	False A
UN007	1	Algorithm	Application	English False	False	True A
UN007	1	Problem	Definition	English True	False	False A
UN007	1	Problem	Definition	Pseudocode True	False	False A
UN007	1	Problem	Constraint English	False	False	False A
UN007	1	Problem	Constraint Pseudocode False	False	False A
UN007	2	Problem	Definition	English True	False	False A
UN007	2	Problem	Variant	English False	False	True A
UN007	2	Problem	Variant	English False	False	False A
UN007	2	Problem	Variant	Math False	False	False A
UN007	2	Problem	Variant	List False	False	False A
UN007	2	Problem	Variant	Pseudocode False	False	False A
UN007	3	Algorithm	Analogy	English False	False	False A
UN007	4	Algorithm	Idea	English False	False	False A
UN007	4	Algorithm	Idea	Diagram False	False	False A
UN007	4	Algorithm	Idea	Pseudocode False	False	False A
UN007	4	Algorithm	Idea	English False	False	False A
UN007	4	Algorithm	Idea	Sequence False	False	False A
UN007	5	Problem	Definition Pseudocode False	False	False A
UN007	5	Algorithm	Proof	English False	False	False A
UN007	6	Algorithm	Performance	English False	False	False A
UN007	6	Algorithm	Performance	Math False	False	False A
UN008	2	Algorithm	Analogy	Math False	False	False A
UN008	2	Algorithm	Analogy	List False	False	False A
UN008	3	Problem	Variant	English False	False	False A
UN008	3	Problem	Variant	Math False	False	False A
UN008	3	Problem	Variant	Diagram False	False	False A
UN008	3	Problem	Variant	List False	False	False A
UN008	4	Problem	Definition English False	False	False A
UN008	4	Problem	Definition Math False	False	False A
UN008	5	Algorithm	Idea English False	False	False A
UN008	5	Algorithm	Idea Diagram False	False	False A
UN008	6	Algorithm	Idea English False	False	False A
UN008	7	Algorithm	Idea English False	True	False A
UN008	7	Algorithm	Idea List False	True	False A
UN008	9	Algorithm	Idea English True	False	False A
UN008	11	Algorithm	Idea English True	False	False A
UN008	11	Algorithm	Idea Math True	False	False A
UN008	11	Algorithm	Idea Diagram True	False	False A
UN008	11	Algorithm	Idea List True	False	False A
UN008	11	Algorithm	Idea Pseudocode True	False	False A
UN008	12	Algorithm	Idea Sequence False	False	False A
UN008	13	Implementation	Idea English True	False	False A
UN008	13	Implementation	Idea Math True	False	False A
UN008	14	Implementation	Idea English True	False	False A
UN008	15	Implementation	Idea English True	False	False A
UN008	15	Implementation	Idea List True	False	False A
UN008	16	Implementation	Definition Pseudocode False	False	False A
UN008	16	Algorithm	Example	Diagram False	False	False A
UN008	17	Algorithm	Example	Sequence False	False	False A
UN008	24	Algorithm	Proof	English False	False	False A
UN008	24	Algorithm	Proof	Math False	False	False A
UN008	24	Algorithm	Proof	Diagram False	False	False A
UN008	27	Algorithm	Performance	English False	False	False A
UN008	27	Algorithm	Performance	Math False	False	False A
UN009	2	Problem	Definition English False	False	False A
UN009	2	Problem	Definition Math False	False	False A
UN009	2	Problem	Example	Diagram False	False	False A
UN009	3	Algorithm	Analogy	List False	False	True A
UN009	4	Algorithm	Application	English False	False	True A
UN009	4	Algorithm	Application	List False	False	True A
UN009	5	Algorithm	Idea English False	False	False A
UN009	5	Algorithm	Idea List False	False	False A
UN009	5	Algorithm	Idea Pseudocode False	False	False A
UN009	6	Algorithm	Definition English False	False	False A
UN009	6	Algorithm	Definition List False	False	False A
UN009	7	Algorithm	Definition List True	False	False A
UN009	8	Algorithm	Example	Math False	True	False A
UN009	8	Algorithm	Example	Diagram False	True	False A
UN009	8	Algorithm	Example	Sequence False	True	False A
UN009	15	Implementation	Idea Diagram True	False	False A
UN009	15	Implementation	Idea Sequence True	False	False A
MS001	1	Algorithm	Idea	English False	False	False A
MS001	1	Algorithm	Idea	Math False	False	False A
MS001	1	Algorithm	Idea	Sequence False	False	False A
MS001	1	Algorithm	Analogy	English False	False	False A
MS001	1	Algorithm	Analogy	Math False	False	False A
MS001	1	Algorithm	Analogy	Sequence False	False	False A
MS001	1	Algorithm	Definition Diagram False	False	False A
MS001	1	Algorithm	Definition Pseudocode False	False	False A
MS001	2	Implementation	Idea List True	False	False A
MS001	2	Algorithm	Example English False	False	False A
MS001	2	Algorithm	Example Math False	False	False A
MS001	2	Algorithm	Example Sequence False	False	False A
MS001	3	Algorithm	Definition Diagram False	False	False A
MS001	3	Algorithm	Example	Animation False	False	False A
MS001	5	Algorithm	Performance	Math False	False	False A
MS001	5	Algorithm	Performance	List False	False	False A
MS001	5	Algorithm	Performance	Table False	False	False A
MS001	5	Algorithm	Performance English	True	False	False A
MS001	5	Algorithm	Performance Math True	False	False A
MS001	7	Algorithm	Proof	English False	False	False A
MS001	7	Algorithm	Proof	Math False	False	False A
MS001	7	Algorithm	Proof	Diagram False	False	False A
MS001	8	Implementation	Definition Code False	False	False A
MS002	4	Algorithm	Idea Diagram False	False	False A
MS002	4	Algorithm	Idea Sequence False	False	False A
MS002	4	Algorithm	Idea Picture False	False	False A
MS002	5	Problem	Example English False	False	False A
MS002	5	Problem	Example Diagram False	False	False A
MS002	7	Implementation	Definition Diagram True	False	False A
MS002	7	Implementation	Definition Code True	False	False A
MS002	8	Implementation	Definition Diagram False	False	False A
MS002	8	Implementation	Definition Code False	False	False A
MS002	9	Implementation	Example	Diagram False	False	False A
MS002	11	Implementation	Example	Animation False	False	False A
MS002	12	Algorithm	Performance	Math False	False	False A
MS002	12	Algorithm	Performance	List False	False	False A
MS002	12	Algorithm	Performance	Table False	False	False A
MS002	13	Algorithm	Performance	English True	False	False A
MS002	13	Algorithm	Performance	Math True	False	False A
MS002	14	Algorithm	Proof	English False	False	False A
MS002	14	Algorithm	Proof	Math False	False	False A
MS002	14	Algorithm	Proof	Diagram False	False	False A
MS002	15	Algorithm	Proof	English True	False	False A
MS002	15	Algorithm	Proof	Math True	False	False A
MS002	15	Algorithm	Proof	List True	False	False A
MS002	16	Algorithm	Proof	English True	False	False A
MS002	16	Algorithm	Proof	Math True	False	False A
MS002	16	Algorithm	Proof	Code True	False	False A
MS002	17	Algorithm	Analogy	English False	False	False A
MS002	17	Algorithm	Analogy	Diagram False	False	False A
MS002	17	Algorithm	Analogy	List False	False	False A
MS002	17	Algorithm	Analogy	Code False	False	False A
MS002	20	Algorithm	Idea Diagram False	False	False A
MS002	20	Algorithm	Idea List False	False	False A
MS002	20	Algorithm	Idea Code False	False	False A
MS002	24	Implementation	Idea Diagram False	False	False A
MS002	24	Implementation	Idea List False	False	False A
MS002	25	Implementation	Definition Code False	False	False A
MS002	26	Implementation	Example	Diagram False	False	False A
MS003	1	Algorithm	Analogy	English False	False	False A
MS003	1	Algorithm	Analogy	List False	False	False A
MS003	1	Algorithm	Definition English False	False	False A
MS003	1	Algorithm	Definition Diagram False	False	False A
MS003	2	Implementation	Definition English True	False	False A
MS003	2	Implementation	Definition Pseudocode True	False	False A
MS003	3	Implementation	Definition English True	False	False A
MS003	3	Implementation	Definition Pseudocode True	False	False A
MS003	3	Algorithm	Performance	English False	True	False A
MS003	3	Algorithm	Performance	Math False	True	False A
MS004	1	Algorithm	Definition English False	False	False A
MS004	1	Algorithm	Definition Diagram False	False	False A
MS004	1	Algorithm	Definition English True	False	False A
MS004	1	Algorithm	Definition Diagram True	False	False A
MS004	1	Algorithm	Definition Code True	False	False A
MS004	2	Implementation Variant	English False	False	False A
MS004	2	Implementation Variant	Diagram False	False	False A
MS004	2	Implementation Variant	Code False	False	False A
MS004	2	Implementation Performance	English False	False	False A
MS004	2	Implementation Performance	Math False	False	False A
MS004	2	Implementation Definition List False	False	False A
MS004	2	Implementation Definition Code False	False	False A
MS004	3	Implementation Example	Diagram False	False	False A
MS004	3	Implementation Example	Code False	False	False A
MS004	3	Implementation Variant English False	False	False A
MS004	3	Implementation Variant Diagram False	False	False A
MS004	3	Implementation Variant Code False	False	False A
MS004	4	Implementation Performance English False	False	False A
MS004	4	Implementation Performance Math False	False	False A
MS004	4	Algorithm	Performance	English False	False	False A
MS004	4	Algorithm	Performance	Math False	False	False A
MS007	3	Algorithm	Analogy	List False	False	True A
MS007	4	Algorithm	Definition List False	False	False A
MS007	6	Algorithm	Definition Pseudocode False	False	False A
MS007	6	Algorithm	Example	Diagram False	True	False A
MS007	6	Algorithm	Example	List False	True	False A
MS007	6	Algorithm	Example	Sequence False	True	False A
MS007	17	Algorithm	Performance	Math False	False	False A
MS007	17	Algorithm	Performance	Diagram False	False	False A
MS007	17	Algorithm	Performance	List False	False	False A
MS007	17	Algorithm	Performance	Table False	False	False A
MS007	18	Algorithm	Analogy	Table False	False	True A
AVT001 3 Problem Constraint English False True False B
AVT001 3 Problem Constraint Diagram False True False B
AVT001 4 Algorithm Definition English False True False B
AVT001 4 Algorithm Definition Diagram False True False B
AVT001 5 Algorithm Constraint English False True False B
AVT001 5 Algorithm Constraint Performance False True False B
AVT001 7 Algorithm Proof English False False False B
AVT001 7 Algorithm Proof List False False False B
AVT001 8 Problem Idea English False True False B
AVT001 9 Implementation Definition English False False False B
AVT001 10 Algorithm Performance English False False False B
AVT001 11 Algorithm Example Picture False False False B
AVT001 11 Algorithm Example OrderedList False False False B
AVT001 12 Algorithm Example Picture False False False B
AVT001 13 Algorithm Example PseudoCode/Picture False False False B
AVT001 14 Algorithm Example Picture False True False B
AVT001 17 Algorithm Idea English False False False B
AVT001 17 Algorithm Idea Picture False False False B
AVT001 18 Algorithm Example Picture False False False B
AVT001 18 Algorithm Example OrderedList False False False B  
AVT001 19 Algorithm Example Picture False True False B
AVT001 21 Algorithm Example Code False False False B
AVT001 23 Implementation Example Code False False False B
AVT001 24 Implementation Example Code False True False B
AVT001 25 Implementation Example Code False False False B
AVT001 26 Implementation Example Code False False False B
AVT001 29 Algorithm Example Picture False False False B
AVT001 29 Algorithm Example OrderedList False False False B
AVT001 30 Algorithm Example Picture False False False B
AVT001 30 Algorithm Example OrderedList False False False B
AVT002 2 Problem Variant English False False False B
AVT002 2 Problem Variant List False False False B
AVT002 3 Algorithm Definition English False False False B
AVT002 4 Algorithm Analogy English False False False B
AVT002 4 Algorithm Constraint English False True False B
AVT002 4 Algorithm Example Picture False False False B
AVT002 5 Algorithm Definition English False False False B
AVT002 5 Algorithm Definition OrderedList False False False B
AVT002 5 Algorithm Proof Math False True False B
AVT002 6 Implementation Definition Picture False False False B
AVT002 6 Implementation Definition English False True False B
AVT002 7 Implementation Idea English False True False B
AVT002 7 Implementation Idea OrderedList False False False B
AVT002 8 Implementation Definition English False True False B
AVT002 8 Implementation Definition OrderedList False False False B
AVT002 9 Implementation Example List False False False B
AVT002 9 Implementation Proof English False True False B
AVT002 10 Implementation Example English False False False B
AVT002 10 Implementation Example Picture False False False B
AVT002 11 Implementation Example Picture False False False B
AVT002 11 Implementation Performance English False False False B
